index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
12.2	अन्तम्	-	-	अनत्{पुं;2;एक}/अनन्त{पुं;2;एक}	अनन्त{पुं;2;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N2				-
13.1	आद्यम्	9		आद्य{पुं;2;एक}/आद्य{नपुं;1;एक}/आद्य{नपुं;2;एक}	आद्य{नपुं;2;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N2	सबका_आदि	original	-	-
14.1	यत्	16	यन्मे	यत्{अव्य}/यद्{नपुं;1;एक}/यद्{नपुं;2;एक}/यत्{अव्य}	यद्{नपुं;2;एक}	कर्ता,19.1.1;नित्यसम्बन्धः,6.1	कर्ता,19.1.1;नित्यसम्बन्धः,6.1	N2	जिसे	that_which	-	-
15.1	मे	6		अस्मद्{सर्व;अ;6;एक}	अस्मद्{सर्व;अ;6;एक}	षष्ठीसम्बन्धः,6.1	षष्ठीसम्बन्धः,6.1	N6	मेरा	my	-	-
15.1.1	(सम्मुखे)	14		(सम्मुख{पुं;7;एक}/सम्मुख{नपुं;1;द्वि}/सम्मुख{नपुं;2;द्वि}/सम्मुख{नपुं;7;एक}/सम्मुख{नपुं;8;द्वि})	(सम्मुख{पुं;7;एक})	अधिकरणम्,8.1	अधिकरणम्,8.1	N7	(सम्मुख)	I	-	-
16.1	त्वद्-	17	त्वदन्येन	त्वत्	त्वत्	पञ्चमी-तत्पुरुषः,16.2	पञ्चमी-तत्पुरुषः,16.2	CP	तेरे_अतिरिक्त_दूसरे_किसीने	besides_you	-	-
16.2	अन्येन	-	-	अन्य{पुं;3;एक}	अन्य{पुं;3;एक}	कर्ता,18.2	कर्ता,18.2	N3				-
17.1	न	18	न	न{अव्य}	न{अव्य}	प्रतिषेधः,19.1.1	प्रतिषेधः,19.1.1	NA	नहीं	no_one	-	-
18.1	दृष्ट-	19	दृष्टपूर्वम्	दृष्ट	दृष्ट	कर्मधारयः,18.2	कर्मधारयः,18.2	CP	पहले_देखा	previously_seen	<दृष्ट-पूर्वम्>K1	-
18.2	पूर्वम्	-	-	पूर्व{नपुं;1;एक}	पूर्व{नपुं;1;एक}	विधेय_विशेषणम्,14.1	विधेय_विशेषणम्,14.1	N1				-
19.1.1	(आसीत)	20		(आस्1{कर्तरि;विधिलिङ्;प्र;एक;आत्मनेपदी;आसँ;अदादिः})	(आस्1{कर्तरि;विधिलिङ्;प्र;एक;आत्मनेपदी;आसँ;अदादिः})	अभिहित_कर्ता,14.1;सकर्मकः.1	अभिहित_कर्ता,14.1;सकर्मकः.1	KP	(था)	had	-	-
