index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
11.1	च	9	0	च{अव्य}	च{अव्य}	समुच्चयद्योतकः,10.1	समुच्चयद्योतकः,10.1	NA	और	also	-	-
11.1.1	(अभिभूय)	11	(0)	(अभि_भू1{कृत्_प्रत्ययः:ल्यप्;भू;भ्वादिः}/अभि_भू2{कृत्_प्रत्ययः:ल्यप्;भू;चुरादिः})	(अभि_भू1{कृत्_प्रत्ययः:ल्यप्;अभि_भू;भ्वादिः})	पूर्वकालः,12.1.1	पूर्वकालः,12.1.1	NA	(दबाकर)	also_surpassing	-	-
12.1	एव	15	0	एव{अव्य}	एव{अव्य}	सम्बन्धः,16.1	सम्बन्धः,16.1	NA	ही	like_that	-	-
12.1.1	(भवति)	7	(0)	(भवत्{पुं}{7;एक}/भवती{स्त्री}{8;एक}/भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः})	(भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः})	अभिहितकर्ता,8.1;अकर्मकः.1	अभिहितकर्ता,8.1;अकर्मकः.1	KP	(होता_है)	becomes	-	-
13.1	तमः	10	तमश्चैव	तम{पुं}{1;एक}/तमस्{नपुं}{1;एक}/तमस्{नपुं}{2;एक}/तमस्{नपुं}{8;एक}	तमस्{नपुं}{2;एक}	कर्ता,16.2.1	कर्ता,16.2.1	N2	तमोगुण_को	mode_of_ignorance	-	-
14.1	सत्त्वम्	8	सत्त्वं	सत्त्व{पुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक}	सत्त्व{नपुं}{2;एक}	सुप्_समुच्चितम्,15.1	सुप्_समुच्चितम्,15.1	N2	सत्त्वगुण	mode_of_goodness	-	-
15.1	रजः	12	रजः	रजस्{पुं}{8;एक}/रजस्{नपुं}{1;एक}/रजस्{नपुं}{2;एक}/रजस्{नपुं}{8;एक}	रजस्{नपुं}{1;एक}	कर्म,16.1.1	कर्म,16.1.1	N1	रजोगुण	mode_of_passion	-	-
16.1	तथा	14	0	तथा{अव्य}	तथा{अव्य}	समुच्चयद्योतकः,15.1	समुच्चयद्योतकः,15.1	NA	वैसे	as_in_this	-	-
16.1.1	(अभिभूय)	19	(0)	(अभि_भू1{कृत्_प्रत्ययः:ल्यप्;भू;भ्वादिः}/अभि_भू2{कृत्_प्रत्ययः:ल्यप्;भू;चुरादिः})	(अभि_भू1{कृत्_प्रत्ययः:ल्यप्;अभि_भू;भ्वादिः})	पूर्वकालः,16.2.1	पूर्वकालः,16.2.1	NA	(दबाकर)	also_surpassing	-	-
16.2.1	(भवति)	13	(0)	(भवत्{पुं}{7;एक}/भवती{स्त्री}{8;एक}/भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः})	(भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः})	अभिहितकर्ता,13.1;अकर्मकः.1	अभिहितकर्ता,13.1;अकर्मकः.1	KP	(होता_है)	becomes	-	-
												
